Total_Rides,Start_Station,End_Station,Start_Station_Name,Start_Station_Lat,Start_Station_Lon,Start_Colonia,End_Station_Name,End_Station_Lat,End_Station_Lon,End_Colonia
160,1,174,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,19.441110000000002,-99.16164,San Rafael
159,27,266,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez,266 AV. JESÚS GARCIA-CARLOS J. MENESES ,19.444031,-99.152187,Buenavista
159,271,18,271 AV. CENTRAL-J. MENESES ,19.443928,-99.152525,Buenavista,18 REFORMA-RIO RHIN,19.42888,-99.164176,Cuauhtemoc
157,36,58,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte,58 PARQUE ESPAÑA-JUAN DE LA BARRERA,19.41568,-99.17179300000001,Condesa
157,64,36,64 SONORA-AMSTERDAM,19.412876999999998,-99.166986,Hipodromo,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte
157,41,41,41 REFORMA-AV. DE LA REPUBLICA,19.435637,-99.150137,Tabacalera,41 REFORMA-AV. DE LA REPUBLICA,19.435637,-99.150137,Tabacalera
157,68,77,68 TAMAULIPAS-MICHOACAN,19.411556,-99.17406,Condesa,77 CHOAPAN-TAMAULIPAS,19.406765,-99.178321,Hipodromo
157,64,63,64 SONORA-AMSTERDAM,19.412876999999998,-99.166986,Hipodromo,63 NUEVO LEON- LAREDO,19.413681,-99.171531,Condesa
157,219,197,219 ESOPO-FC DE CUERNAVACA,19.433542000000003,-99.207808,Polanco,197 MIGUEL DE CERVANTES-FC DE CUERNAVACA,19.440077,-99.204316,Granada
156,10,10,10 REFORMA-RAMIREZ,19.433321,-99.154752,Tabacalera,10 REFORMA-RAMIREZ,19.433321,-99.154752,Tabacalera
156,58,58,58 PARQUE ESPAÑA-JUAN DE LA BARRERA,19.41568,-99.17179300000001,Condesa,58 PARQUE ESPAÑA-JUAN DE LA BARRERA,19.41568,-99.17179300000001,Condesa
156,63,63,63 NUEVO LEON- LAREDO,19.413681,-99.171531,Condesa,63 NUEVO LEON- LAREDO,19.413681,-99.171531,Condesa
156,13,27,13 REFORMA-RIO MISSISSIPPI,19.42502,-99.17231,Cuauhtemoc,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
156,26,43,26 REFORMA-VERSALLES,19.432685,-99.154726,Juarez,43 JUAREZ-REVILLAGIGEDO,19.435228,-99.146063,Centro
156,158,145,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC,19.407447,-99.15571700000001,Roma Sur,145 EJE 2 SUR YUCATÁN-CHIAPAS,19.412860000000002,-99.160661,Roma Norte
155,174,1,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,19.441110000000002,-99.16164,San Rafael,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc
154,27,17,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez,17 REFORMA-RIO TIBER,19.427501,-99.167125,Cuauhtemoc
153,20,15,20 REFORMA-RIO TAMESIS,19.430964000000003,-99.160206,Cuauhtemoc,15 REFORMA-RIO MISSISSIPPI,19.425476999999997,-99.17156700000001,Cuauhtemoc
153,113,107,113 GENERAL PRIM-VERSALLES,19.430369,-99.15441899999999,Juarez,107 TOLSA-BALDERAS,19.427329,-99.149971,Centro
